City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ujae,8.9322,165.7642,28.51,75,99,8.94,MH,1699026780
84,gamba,-2.65,10.0,25.84,78,98,2.18,GA,1699026781
85,ola,59.5833,151.2833,-2.4,73,78,7.35,RU,1699026770
86,yuzhno-kurilsk,44.0306,145.8556,14.1,85,86,6.27,RU,1699026781
87,isafjordur,66.0755,-23.124,3.02,65,75,5.14,IS,1699026782
88,yellowknife,62.456,-114.3525,-7.71,93,100,4.12,CA,1699026590
89,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,64,75,6.26,RU,1699026757
90,port lincoln,-34.7333,135.8667,12.31,79,7,7.22,AU,1699026783
91,acarau,-2.8856,-40.12,32.07,53,10,8.12,BR,1699026784
92,puerto ayora,-0.7393,-90.3518,27.98,86,79,3.58,EC,1699026785
93,vilyuysk,63.7553,121.6247,-26.08,100,97,0.54,RU,1699026785
94,la passe,45.5549,-0.8967,12.77,72,87,11.54,FR,1699026786
95,porbandar,21.6422,69.6093,28.2,53,4,4.56,IN,1699026786
96,puerto natales,-51.7236,-72.4875,11.25,54,75,8.23,CL,1699026759
97,plettenberg bay,-34.0527,23.3716,20.32,61,100,2.91,ZA,1699026787
98,ulety,51.3572,112.4849,-9.22,62,100,0.72,RU,1699026788
99,nar'yan-mar,67.6713,53.087,-4.38,95,100,4.92,RU,1699026789
100,talcahuano,-36.7167,-73.1167,16.82,55,0,4.63,CL,1699026790
101,gorontalo,0.5412,123.0595,24.61,94,98,1.18,ID,1699026790
102,dubbo,-32.25,148.6167,17.07,77,26,5.66,AU,1699026791
103,gemena,3.25,19.7667,23.7,95,66,0.96,CD,1699026791
104,baki,-7.6128,110.7839,25.43,86,98,0.86,ID,1699026792
105,weston-super-mare,51.346,-2.9766,13.09,78,75,6.69,GB,1699026792
106,carnarvon,-24.8667,113.6333,20.87,90,86,5.34,AU,1699026793
107,vilyuchinsk,52.9306,158.4028,4.96,69,100,0.63,RU,1699026794
108,tsiroanomandidy,-18.7667,46.0333,26.56,47,42,1.19,MG,1699026794
109,aykhal,66.0,111.5,-24.93,100,99,2.42,RU,1699026795
110,broken hill,-31.95,141.4333,13.97,45,3,6.89,AU,1699026796
111,santa quiteria do maranhao,-3.5156,-42.5467,40.25,25,4,2.36,BR,1699026581
112,george town,5.4112,100.3354,27.96,81,20,2.24,MY,1699026757
113,dul'durga,50.6761,113.5931,-9.27,92,100,0.44,RU,1699026797
114,piti village,13.4626,144.6933,27.49,92,40,2.06,GU,1699026797
115,yemel'yanovo,56.1681,92.6767,-6.55,79,75,3.0,RU,1699026798
116,languyan,5.2618,120.0807,27.24,77,98,1.68,PH,1699026799
117,nova sintra,14.8667,-24.7167,25.28,68,9,8.34,CV,1699026799
118,horta,38.5333,-28.6333,21.8,88,40,9.26,PT,1699026799
119,illizi,26.4833,8.4667,34.89,9,0,3.53,DZ,1699026800
120,altay,47.8667,88.1167,-12.02,66,0,4.39,CN,1699026800
121,kapuskasing,49.4169,-82.4331,1.05,93,100,6.17,CA,1699026662
122,sitka,57.0531,-135.33,7.94,87,100,2.57,US,1699026762
123,mizdah,31.4451,12.9801,28.27,14,0,5.28,LY,1699026802
124,tateyama,34.9833,139.8667,20.61,75,1,7.15,JP,1699026803
125,urzhar,47.093,81.6294,0.81,51,1,3.02,KZ,1699026804
126,rikaze,29.25,88.8833,2.73,37,22,2.59,CN,1699026804
127,georgetown,5.4112,100.3354,27.96,81,20,2.24,MY,1699026757
128,qoryooley,1.7878,44.53,25.23,88,89,2.84,SO,1699026805
129,kiunga,-6.1219,141.2906,23.12,99,100,1.15,PG,1699026805
130,greenville,35.6127,-77.3663,13.97,46,0,4.12,US,1699026380
131,gulf shores,30.246,-87.7008,19.08,64,0,4.63,US,1699026806
132,port alfred,-33.5906,26.891,21.21,80,100,3.13,ZA,1699026772
133,ostrov,57.3439,28.3537,6.85,79,82,6.49,RU,1699026808
134,uturoa,-16.7333,-151.4333,26.31,75,87,7.55,PF,1699026808
135,zhezqazghan,47.7833,67.7667,9.2,81,85,3.47,KZ,1699026809
136,whitehorse,60.7161,-135.0538,0.43,93,100,3.09,CA,1699026809
137,jinchang,38.4953,102.1739,8.24,38,77,0.39,CN,1699026810
138,rongelap,11.1635,166.8941,28.27,72,93,7.98,MH,1699026811
139,willowmore,-33.2926,23.4895,21.64,41,100,5.3,ZA,1699026811
140,bechar,31.6167,-2.2167,29.18,13,0,2.06,DZ,1699026812
141,geraldton,-28.7667,114.6,21.23,83,57,3.6,AU,1699026812
142,truth or consequences,33.1284,-107.2528,10.13,29,0,2.06,US,1699026600
143,mungwi,-10.1732,31.3694,25.37,44,68,4.66,ZM,1699026814
144,nicoya,10.1483,-85.452,27.92,80,74,2.44,CR,1699026693
145,anadyr,64.75,177.4833,-7.72,78,20,4.0,RU,1699026814
146,fuqing,25.725,119.3794,22.87,95,73,1.84,CN,1699026815
147,sabang,5.8933,95.3214,27.67,79,64,4.34,ID,1699026816
148,prien,30.1819,-93.2738,18.99,61,0,3.6,US,1699026816
149,hermanus,-34.4187,19.2345,18.95,75,26,9.64,ZA,1699026817
150,karatuzskoye,53.6072,92.8667,-11.46,94,86,2.24,RU,1699026817
151,kizner,56.2749,51.508,3.15,68,100,4.43,RU,1699026818
152,dryden,49.7833,-92.7503,-3.84,80,100,4.63,CA,1699026818
153,reguengos de monsaraz,38.4253,-7.5349,17.16,64,82,6.06,PT,1699026819
154,lerdo de tejada,18.6167,-95.5167,24.94,80,93,5.61,MX,1699026819
155,atafu village,-8.5421,-172.5159,27.95,77,99,6.41,TK,1699026820
156,liuboml,51.226,24.0373,12.42,75,87,10.77,UA,1699026820
157,mata-utu,-13.2816,-176.1745,28.25,77,95,8.36,WF,1699026821
158,kingston,17.997,-76.7936,32.36,65,20,8.75,JM,1699026694
159,keren,15.7778,38.4581,23.59,59,84,2.42,ER,1699026821
160,hadibu,12.65,54.0333,26.94,76,82,3.53,YE,1699026822
161,iskateley,67.6803,53.1512,-4.43,95,100,4.92,RU,1699026822
162,ojinaga,29.5667,-104.4167,18.1,34,0,0.58,MX,1699026823
163,west bay,19.3667,-81.4167,28.92,87,40,5.66,KY,1699026824
164,ta`u,-14.2336,-169.5144,26.47,83,53,9.8,AS,1699026824
165,argo,37.6333,22.7333,21.55,58,100,2.72,GR,1699026825
166,gutierrez zamora,20.45,-97.0833,18.93,87,100,2.48,MX,1699026825
167,antalaha,-14.9003,50.2788,25.2,90,100,2.2,MG,1699026826
168,shasta lake,40.6804,-122.3708,17.09,72,93,0.45,US,1699026826
169,lebu,-37.6167,-73.65,13.43,64,8,5.97,CL,1699026827
170,lagunas,-5.2269,-75.6753,36.12,40,21,1.46,PE,1699026827
171,bilibino,68.0546,166.4372,-15.88,96,100,1.92,RU,1699026828
172,nemuro,43.3236,145.575,12.9,92,57,3.07,JP,1699026763
173,caleta de carquin,-11.0925,-77.6267,20.93,72,68,4.15,PE,1699026829
174,enewetak,11.3474,162.3373,27.98,79,100,6.57,MH,1699026829
175,yen vinh,18.6667,105.6667,24.87,92,45,1.39,VN,1699026830
176,grindsted,55.754,8.9123,10.01,89,99,7.51,DK,1699026830
177,belmonte,-15.8631,-38.8828,28.82,68,99,4.89,BR,1699026830
178,tadine,-21.55,167.8833,20.58,82,89,5.68,NC,1699026831
179,ostersund,63.1792,14.6357,-1.88,100,100,3.6,SE,1699026747
180,new norfolk,-42.7826,147.0587,7.72,88,70,1.18,AU,1699026832
181,shingu,33.7333,135.9833,16.89,87,1,2.41,JP,1699026832
182,the dalles,45.5946,-121.1787,12.02,92,0,2.06,US,1699026832
183,zharkent,44.1628,80.0,8.64,51,8,1.57,KZ,1699026833
184,lyantor,61.6195,72.1555,-2.89,94,100,11.44,RU,1699026834
185,nova vicosa,-17.8919,-39.3719,29.38,65,84,6.48,BR,1699026834
186,shimoda,34.6667,138.95,16.72,81,2,4.52,JP,1699026835
187,mammoth lakes,37.6485,-118.9721,-1.6,47,0,0.0,US,1699026835
188,luderitz,-26.6481,15.1594,19.05,72,7,6.9,NA,1699026760
189,huanuni,-18.2667,-66.85,14.27,8,32,2.78,BO,1699026836
190,mafinga,-7.25,35.0667,27.85,41,100,4.77,TZ,1699026837
191,klaksvik,62.2266,-6.589,6.51,89,100,8.14,FO,1699026837
192,port elizabeth,-33.918,25.5701,19.06,81,20,3.09,ZA,1699026773
193,uvalde,29.3669,-99.767,19.62,71,75,4.12,US,1699026838
194,inarajan village,13.2736,144.7484,27.54,93,99,6.12,GU,1699026838
195,daru,-9.0763,143.2092,25.46,87,98,6.66,PG,1699026839
196,langon,44.5,-0.3333,11.83,78,67,6.44,FR,1699026839
197,santo domingo zanatepec,16.4831,-94.3475,28.91,52,50,3.87,MX,1699026839
198,villa yapacani,-17.4,-63.8333,19.58,80,100,3.42,BO,1699026840
199,soe,-9.8607,124.284,18.09,88,15,1.72,ID,1699026840
200,kruisfontein,-34.0033,24.7314,21.16,48,100,4.02,ZA,1699026841
201,jieshi,22.8134,115.8257,23.57,85,7,2.76,CN,1699026841
202,saint-joseph,-21.3667,55.6167,24.21,80,90,1.24,RE,1699026842
